class id:    0,    class name:                     abbey,    class data number:   232,    accuracy: 37.5
class id:    1,    class name:            airplane_cabin,    class data number:    12,    accuracy: 25.0
class id:    2,    class name:          airport_terminal,    class data number:   597,    accuracy: 72.5
class id:    3,    class name:                     alley,    class data number:   136,    accuracy: 75.0
class id:    4,    class name:              amphitheater,    class data number:   132,    accuracy: 75.0
class id:    5,    class name:          amusement_arcade,    class data number:    74,    accuracy: 60.0
class id:    6,    class name:            amusement_park,    class data number:   392,    accuracy: 70.0
class id:    7,    class name:          anechoic_chamber,    class data number:    46,    accuracy: 72.5
class id:    8,    class name:                   outdoor,    class data number:   259,    accuracy: 52.5
class id:    9,    class name:                    indoor,    class data number:    40,    accuracy: 55.0
class id:   10,    class name:                  aquarium,    class data number:    44,    accuracy: 82.5
class id:   11,    class name:                  aqueduct,    class data number:   154,    accuracy: 67.5
class id:   12,    class name:                      arch,    class data number:    73,    accuracy: 62.5
class id:   13,    class name:                   archive,    class data number:    30,    accuracy: 27.5
class id:   14,    class name:                   outdoor,    class data number:    40,    accuracy: 72.5
class id:   15,    class name:               art_gallery,    class data number:   112,    accuracy: 55.0
class id:   16,    class name:                art_school,    class data number:    26,    accuracy: 12.5
class id:   17,    class name:                art_studio,    class data number:   128,    accuracy: 62.5
class id:   18,    class name:             assembly_line,    class data number:    38,    accuracy: 27.5
class id:   19,    class name:                   outdoor,    class data number:    10,    accuracy: 7.5
class id:   20,    class name:                    public,    class data number:    19,    accuracy: 12.5
class id:   21,    class name:                     attic,    class data number:   141,    accuracy: 60.0
class id:   22,    class name:                auditorium,    class data number:   146,    accuracy: 55.0
class id:   23,    class name:              auto_factory,    class data number:    87,    accuracy: 70.0
class id:   24,    class name:                  badlands,    class data number:   220,    accuracy: 85.0
class id:   25,    class name:                    indoor,    class data number:    68,    accuracy: 75.0
class id:   26,    class name:             baggage_claim,    class data number:    75,    accuracy: 42.5
class id:   27,    class name:                      shop,    class data number:   231,    accuracy: 72.5
class id:   28,    class name:                  exterior,    class data number:    18,    accuracy: 12.5
class id:   29,    class name:                  interior,    class data number:    49,    accuracy: 37.5
class id:   30,    class name:                  ball_pit,    class data number:    63,    accuracy: 85.0
class id:   31,    class name:                  ballroom,    class data number:     9,    accuracy: 2.5
class id:   32,    class name:             bamboo_forest,    class data number:    27,    accuracy: 65.0
class id:   33,    class name:              banquet_hall,    class data number:   120,    accuracy: 45.0
class id:   34,    class name:                       bar,    class data number:   385,    accuracy: 70.0
class id:   35,    class name:                      barn,    class data number:   110,    accuracy: 75.0
